product_id,product_name,category,price,sustainability_rating,units_sold,country,popularity_score,material
76,HEKTAR Pendant Lamp,Lighting,49.99,4.6,5000,France,8.8,Steel
77,FRIHETEN Corner Sofa,Furniture,699.99,4.4,1500,Canada,8.3,Fabric
78,NYMÅNE Ceiling Lamp,Lighting,69.99,4.7,4000,Australia,9.0,Steel/Glass
79,PLATSA Storage Unit,Furniture,199.99,4.5,2500,Italy,8.6,Wood
80,SMÅSTAD Desk,Furniture,149.99,4.6,1000,Spain,8.7,Wood
81,ÄPPLARÖ Chair,Furniture,49.99,4.7,3000,Sweden,9.1,Wood
82,GRUNDTAL Shelf,Storage,19.99,4.8,7000,USA,9.3,Steel
83,EKOLSUND Armchair,Furniture,299.99,4.5,1500,Germany,8.4,Fabric
84,ALÄNG Floor Lamp,Lighting,39.99,4.6,4000,Netherlands,8.9,Steel/Fabric
85,BRIMNES Wardrobe,Furniture,179.99,4.4,3000,UK,8.5,Wood
86,GLADOM Side Table,Furniture,19.99,4.7,7000,France,9.0,Steel
87,ODDVAR Step Stool,Furniture,14.99,4.5,6000,Canada,8.6,Wood
88,KRAGSTA Side Table,Furniture,49.99,4.6,3000,Australia,8.8,Wood
89,LINNMON Desk,Furniture,29.99,4.3,9000,Italy,8.2,Wood
90,MARKUS Chair,Furniture,229.99,4.7,2000,Spain,9.0,Fabric/Steel
91,STUVA Bench,Storage,59.99,4.6,5000,Sweden,8.9,Wood
92,ÅRSTID Table Lamp,Lighting,29.99,4.5,4000,USA,8.7,Steel/Fabric
93,EKORRE Moose,Furniture,29.99,4.8,3000,Germany,9.2,Wood
94,IVAR Cabinet,Furniture,69.99,4.6,6000,Netherlands,8.8,Wood
95,TOBIAS Stool,Furniture,79.99,4.4,5000,UK,8.5,Plastic/Steel
96,MÅLA Paint Set,Furniture,24.99,4.7,4000,France,9.0,Wood
97,LEIRVIK Frame,Furniture,149.99,4.5,3000,Canada,8.6,Steel
98,TRYSIL Cabinet,Furniture,129.99,4.6,4000,Australia,8.8,Wood
99,KNOPPARP Loveseat,Furniture,99.99,4.4,2000,Italy,8.3,Fabric/Steel
100,PS 2017 Chair,Furniture,249.99,4.7,1000,Spain,9.1,Fabric/Steel
